theme,url,img,lines,author
SMILE,/inspirational-quotes/7044-what-sunshine-is-to-flowers-smiles-are-to,https://assets.passiton.com/quotes/quote_artwork/7044/medium/20201012_monday_quote_alt.jpg?1602261408,"What sunshine is to flowers, smiles are to humanity.",<Author:0x00007f271ddb5038>
SELF-CARE,/inspirational-quotes/8143-anytime-we-can-listen-to-our-true-self-and-give,https://assets.passiton.com/quotes/quote_artwork/8143/medium/20201009_friday_quote_updated.jpg?1601662411,"Anytime we can listen to our true self and give the care it requires, we do it not only for ourselves, but for the many others whose lives we touch. ",<Author:0x00007f271ddc6478>
SELF-CARE,/inspirational-quotes/8142-when-you-recover-or-discover-something-that,https://assets.passiton.com/quotes/quote_artwork/8142/medium/20201008_thursday_quote.jpg?1601592469,"When you recover or discover something that nourishes your soul and brings joy, care enough about yourself to make room for it in your life.",<Author:0x00007f271de409a8>
SELF-CARE,/inspirational-quotes/8141-it-s-not-selfish-to-love-yourself-take-care-of,https://assets.passiton.com/quotes/quote_artwork/8141/medium/20201007_wednesday_quote.jpg?1601592441,"It’s not selfish to love yourself, take care of yourself, and to make your happiness a priority. It’s necessary.",<Author:0x00007f271de51898>
SELF-CARE,/inspirational-quotes/8140-when-you-take-care-of-yourself-you-re-a-better,https://assets.passiton.com/quotes/quote_artwork/8140/medium/20201006_tuesday_quote.jpg?1601592416,"When you take care of yourself, you’re a better person for others. When you feel good about yourself, you treat others better. ",<Author:0x00007f271de61310>
SELF-CARE,/inspirational-quotes/8139-self-care-is-a-deliberate-choice-to-gift,https://assets.passiton.com/quotes/quote_artwork/8139/medium/20201005_monday_quote.jpg?1601592383,"Self-care is a deliberate choice to gift yourself with people, places, things, events, and opportunities that recharge our personal battery and promote whole health — body, mind, and spirit.",<Author:0x00007f271de712b0>
EMPATHY,/inspirational-quotes/8138-leadership-is-about-empathy-it-is-about-having,https://assets.passiton.com/quotes/quote_artwork/8138/medium/20201002_friday_quote.jpg?1600981679,Leadership is about empathy. It is about having the ability  to relate to and connect with people for the purpose of inspiring and empowering their lives.,<Author:0x00007f271de87ba0>
EMPATHY,/inspirational-quotes/8135-the-nature-of-humanity-its-essence-is-to-feel,https://assets.passiton.com/quotes/quote_artwork/8135/medium/20201001_thursday_quote.jpg?1600975693,"The nature of humanity, its essence, is to feel another’s pain as one’s own, and to act to take that pain away. There is a nobility in compassion, a beauty in empathy, a grace in forgiveness.",<Author:0x00007f271de97140>
EMPATHY,/inspirational-quotes/8136-empathy-is-the-starting-point-for-creating-a,https://assets.passiton.com/quotes/quote_artwork/8136/medium/20200930_wednesday_quote.jpg?1600975670,Empathy is the starting point for creating a community and taking action. It’s the impetus for creating change.,<Author:0x00007f271dea4ea8>
EMPATHY,/inspirational-quotes/8137-empathy-is-simply-listening-holding-space,https://assets.passiton.com/quotes/quote_artwork/8137/medium/20201002_friday_quote.jpg?1600975717,"Empathy is simply listening, holding space, withholding judgment, emotionally connecting, and communicating that incredibly healing message of ‘you are not alone’.",<Author:0x00007f271e095500>
EMPATHY,/inspirational-quotes/8133-empathy-is-seeing-with-the-eyes-of-another,https://assets.passiton.com/quotes/quote_artwork/8133/medium/20200928_monday_quote.jpg?1600975626,"Empathy is seeing with the eyes of another, listening with the ears of another, and feeling with the heart of another. – Alfred Adler",<Author:0x00007f271e0b10e8>
GET OUTSIDE,/inspirational-quotes/7125-the-cure-for-anything-is-salt-water-tears,https://assets.passiton.com/quotes/quote_artwork/7125/medium/20200925_friday_quote.jpg?1600453720,"The cure for anything is salt water—tears, sweat, or the sea.

",<Author:0x00007f271e0d4c78>
GET OUTSIDE,/inspirational-quotes/8132-now-i-know-the-secret-of-making-the-best,https://assets.passiton.com/quotes/quote_artwork/8132/medium/20200924_thursday_quote.jpg?1600453544,Now I know the secret of making the best persons; it is to grow in the open air and to eat and sleep with the Earth.,<Author:0x00007f271e100b48>
GET OUTSIDE,/inspirational-quotes/8131-i-firmly-believe-that-nature-brings-solace-in,https://assets.passiton.com/quotes/quote_artwork/8131/medium/20200923_wednesday_quote.jpg?1600453521,I firmly believe that nature brings solace in all troubles.,<Author:0x00007f271e135780>
GET OUTSIDE,/inspirational-quotes/7123-wilderness-is-not-a-luxury-but-a-necessity-of,https://assets.passiton.com/quotes/quote_artwork/7123/medium/20200922_tuesday_quote.jpg?1600453486,"Wilderness is not a luxury, but a necessity of the human spirit.",<Author:0x00007f271e156610>
GET OUTSIDE,/inspirational-quotes/8130-live-in-the-sunshine-swim-in-the-sea-drink,https://assets.passiton.com/quotes/quote_artwork/8130/medium/20200921_monday_quote.jpg?1600453130,"Live in the sunshine, swim in the sea, drink the wild air’s salubrity.",<Author:0x00007f271e170768>
BEING THERE,/inspirational-quotes/3685-lifes-most-urgent-question-is-what-are-you,https://assets.passiton.com/quotes/quote_artwork/3685/medium/20200918_friday_quote.jpg?1599677031,Life's most urgent question is: What are you doing for others?,<Author:0x00007f271e195e28>
BEING THERE,/inspirational-quotes/8129-it-s-good-to-be-blessed-it-s-better-to-be-a,https://assets.passiton.com/quotes/quote_artwork/8129/medium/20200917_thursday_quote.jpg?1599676277,It’s good to be blessed. It’s better to be a blessing.,<Author:0x00007f271e1be148>
BEING THERE,/inspirational-quotes/7703-if-youre-not-making-someone-elses-life-better,https://assets.passiton.com/quotes/quote_artwork/7703/medium/20200916_wednesday_quote.jpg?1599676255,"If you're not making someone else's life better, then you're wasting your time. Your life will become better by making other lives better.",<Author:0x00007f271e1d83e0>
BEING THERE,/inspirational-quotes/5347-only-a-life-lived-for-others-is-worth-living,https://assets.passiton.com/quotes/quote_artwork/5347/medium/20200915_tuesday_quote.jpg?1599676228,Only a life lived for others is worth living.,<Author:0x00007f271e20f4f8>
BEING THERE,/inspirational-quotes/8128-there-is-nothing-more-beautiful-than-someone,https://assets.passiton.com/quotes/quote_artwork/8128/medium/20200914_monday_quote.jpg?1599676207,There is nothing more beautiful than someone who goes out of their way to make life beautiful for others.,<Author:0x00007f271e22f1e0>
HEALTH,/inspirational-quotes/7548-health-and-cheerfulness-naturally-beget-each,https://assets.passiton.com/quotes/quote_artwork/7548/medium/20200911_friday_quote.jpg?1599090407,Health and cheerfulness naturally beget each other.,<Author:0x00007f271e25b510>
HEALTH,/inspirational-quotes/8126-physical-fitness-is-not-only-one-of-the-most,https://assets.passiton.com/quotes/quote_artwork/8126/medium/20200910_thursday_quote.jpg?1599090381,"Physical fitness is not only one of the most important keys to a healthy body, it is the basic of dynamic and creative intellectual activity.",<Author:0x00007f271e2850b8>
HEALTH,/inspirational-quotes/8125-to-me-good-health-is-more-than-just-exercise,https://assets.passiton.com/quotes/quote_artwork/8125/medium/20200909_wednesday_quote.jpg?1599090351,"To me, good health is more than just exercise and diet. It’s really a point of view and a mental attitude you have about yourself.",<Author:0x00007f271e2a4ad0>
HEALTH,/inspirational-quotes/8127-exercise-to-be-fit-not-skinny,https://assets.passiton.com/quotes/quote_artwork/8127/medium/20200908_tuesday_quote.jpg?1599169757,"Exercise to be fit, not skinny.",<Author:0x00007f271e2d1850>
HEALTH,/inspirational-quotes/8123-it-s-up-to-you-today-to-start-making-healthy,https://assets.passiton.com/quotes/quote_artwork/8123/medium/20200907_monday_quote.jpg?1599090027,"It’s up to you today to start making healthy choices. Not choices that are just healthy for your body, but healthy for your mind.",<Author:0x00007f271e317d50>
CREATIVITY,/inspirational-quotes/7808-creativity-involves-breaking-out-of-established,https://assets.passiton.com/quotes/quote_artwork/7808/medium/20200904_friday_quote.jpg?1598565715,Creativity involves breaking out of established patterns in order to look at things in a different way.,<Author:0x00007f271e347a78>
CREATIVITY,/inspirational-quotes/7812-curiosity-about-life-in-all-of-its-aspects-i,https://assets.passiton.com/quotes/quote_artwork/7812/medium/20200903_thursday_quote.jpg?1598565687,"Curiosity about life in all of its aspects, I think, is still the secret of great creative people.",<Author:0x00007f271e35fc40>
CREATIVITY,/inspirational-quotes/8122-happiness-lies-in-the-joy-of-achievement-and,https://assets.passiton.com/quotes/quote_artwork/8122/medium/20200902_wednesday_quote.jpg?1598565656,Happiness lies in the joy of achievement and the thrill of creative effort.,<Author:0x00007f271e3797d0>
CREATIVITY,/inspirational-quotes/8121-create-what-sets-your-heart-on-fire-and-it-will,https://assets.passiton.com/quotes/quote_artwork/8121/medium/20200901_tuesday_quote.jpg?1598565635,Create what sets your heart on fire and it will illuminate the path ahead.,<Author:0x00007f271e38eae0>
CREATIVITY,/inspirational-quotes/8120-creativity-is-the-way-i-share-my-soul-with-the,https://assets.passiton.com/quotes/quote_artwork/8120/medium/20200831_monday_quote.jpg?1598565613,Creativity is the way I share my soul with the world.,<Author:0x00007f271e3bd930>
COURTESY,/inspirational-quotes/8118-kindness-isnt-sacrifice-so-much-as-it-is-being,https://assets.passiton.com/quotes/quote_artwork/8118/medium/20200828_friday_quote.jpg?1597869672,"Kindness isn't sacrifice so much as it is being considerate for the feelings of others, sharing happiness, the unselfish thought, the spontaneous and friendly act, forgetfulness of our own present interests. ",<Author:0x00007f271e3da8a0>
